core_id,type,cycle,sample_id,bag_id,filter_id,filter_area,colour,shape,major,minor,core_id_new,species,habitat_label,visual_id
-,control,C1,CON_C1,-,CON_C1,0.5,black_grey,line,196.0002,9.402,NA,NA,NA,visual_1
-,control,C1,CON_C1,-,CON_C1,0.5,blue_green,fragment,69.922,30.433,NA,NA,NA,visual_2
-,control,C1,CON_C1,-,CON_C1,0.5,blue_green,film,792.672,27.945,NA,NA,NA,visual_3
-,control,C2,CON_C2,-,CON_C2,0.25,black_grey,line,695.067,13.469,NA,NA,NA,visual_4
-,control,C2,CON_C2,-,CON_C2,0.25,black_grey,line,590.553,7.399,NA,NA,NA,visual_5
-,control,C3,CON_C3,-,CON_C3,1,black_grey,line,2654.705,18.518,NA,NA,NA,visual_6
-,control,C3,CON_C3,-,CON_C3,1,yellow,line,1729.149,13.371,NA,NA,NA,visual_7
-,control,C3,CON_C3,-,CON_C3,1,black_grey,line,2731.843,12.332,NA,NA,NA,visual_8
-,control,C4,CON_C4,-,CON_C4,0.25,white_cream,foam,1743.732,607.792,NA,NA,NA,visual_9
-,control,C4,CON_C4,-,CON_C4,0.25,blue_green,fragment,62.28,46.869,NA,NA,NA,visual_10
-,control,C4,CON_C4,-,CON_C4,0.25,blue_green,fragment,37.642,34.075,NA,NA,NA,visual_11
-,control,C5,CON_C5,-,CON_C5,1,blue_green,line,995.724,18.173,NA,NA,NA,visual_12
-,control,C6,CON_C6,-,CON_C6,1,blue_green,line,3184.416,6.547,NA,NA,NA,visual_13
-,control,C6,CON_C6,-,CON_C6,1,blue_green,line,523.961,11.505,NA,NA,NA,visual_14
-,control,C6,CON_C6,-,CON_C6,1,blue_green,line,660.023,8.184,NA,NA,NA,visual_15
-,control,C6,CON_C6,-,CON_C6,1,blue_green,line,1228.251,23.363,NA,NA,NA,visual_16
-,control,C6,CON_C6,-,CON_C6,1,blue_green,film,303.326,26.516,NA,NA,NA,visual_17
-,control,C6,CON_C6,-,CON_C6,1,blue_green,line,1369.957,12.351,NA,NA,NA,visual_18
-,control,C7,CON_C7,-,CON_C7,1,blue_green,line,965.418,13.075,NA,NA,NA,visual_19
-,control,C8,CON_C8,-,CON_C8,1,black_grey,line,275.583,13.559,NA,NA,NA,visual_20
-,control,C8,CON_C8,-,CON_C8,1,white_cream,foam,1584.477,853.373,NA,NA,NA,visual_21
-,control,C8,CON_C8,-,CON_C8,1,blue_green,line,4189.48,16.405,NA,NA,NA,visual_22
-,control,C8,CON_C8,-,CON_C8,1,white_cream,foam,558.113,381.35,NA,NA,NA,visual_23
CH1,sediment,C6,CH1_6,109,109_2,0.25,yellow,line,4552.805,28.255,Zn1,Zostera noltei,Intertidal (Zn),visual_24
CH1,sediment,C7,CH1_30,117,117_1,0.25,transparent,line,4092.948,36.476,Zn1,Zostera noltei,Intertidal (Zn),visual_25
CH1,sediment,C7,CH1_27,116,116_2,0.25,orange_pink_red,line,3704.425,18.837,Zn1,Zostera noltei,Intertidal (Zn),visual_26
CH1,sediment,C6,CH1_12,111,111_1,0.25,transparent,line,3150.235,26.188,Zn1,Zostera noltei,Intertidal (Zn),visual_27
CH1,sediment,C7,CH1_27,116,116_1,0.25,transparent,line,3137.494,39.886,Zn1,Zostera noltei,Intertidal (Zn),visual_28
